연도,전지구,
1891,-0.6,
1892,-0.7,
1893,-0.8,
1894,-0.7,
1895,-0.7,
1896,-0.5,
1897,-0.5,
1898,-0.7,
1899,-0.6,
1900,-0.5,
1901,-0.6,
1902,-0.7,
1903,-0.8,
1904,-0.8,
1905,-0.7,
1906,-0.6,
1907,-0.8,
1908,-0.8,
1909,-0.8,
1910,-0.8,
1911,-0.8,
1912,-0.7,
1913,-0.7,
1914,-0.5,
1915,-0.4,
1916,-0.6,
1917,-0.7,
1918,-0.6,
1919,-0.6,
1920,-0.5,
1921,-0.4,
1922,-0.6,
1923,-0.5,
1924,-0.6,
1925,-0.5,
1926,-0.4,
1927,-0.5,
1928,-0.5,
1929,-0.6,
1930,-0.4,
1931,-0.3,
1932,-0.4,
1933,-0.5,
1934,-0.4,
1935,-0.5,
1936,-0.5,
1937,-0.4,
1938,-0.3,
1939,-0.4,
1940,-0.3,
1941,-0.3,
1942,-0.3,
1943,-0.2,
1944,-0.1,
1945,-0.3,
1946,-0.4,
1947,-0.4,
1948,-0.4,
1949,-0.4,
1950,-0.5,
1951,-0.4,
1952,-0.3,
1953,-0.2,
1954,-0.5,
1955,-0.5,
1956,-0.6,
1957,-0.3,
1958,-0.2,
1959,-0.3,
1960,-0.3,
1961,-0.2,
1962,-0.2,
1963,-0.2,
1964,-0.5,
1965,-0.4,
1966,-0.4,
1967,-0.4,
1968,-0.4,
1969,-0.3,
1970,-0.3,
1971,-0.4,
1972,-0.3,
1973,-0.2,
1974,-0.4,
1975,-0.4,
1976,-0.5,
1977,-0.2,
1978,-0.3,
1979,-0.2,
1980,-0.1,
1981,-0.1,
1982,-0.2,
1983,-0.1,
1984,-0.2,
1985,-0.3,
1986,-0.2,
1987,0.0,
1988,0.0,
1989,-0.1,
1990,0.0,
1991,0.0,
1992,-0.2,
1993,-0.2,
1994,-0.1,
1995,0.0,
1996,-0.1,
1997,0.1,
1998,0.2,
1999,0.0,
2000,0.0,
2001,0.1,
2002,0.2,
2003,0.2,
2004,0.1,
2005,0.2,
2006,0.2,
2007,0.1,
2008,0.1,
2009,0.2,
2010,0.2,
2011,0.1,
2012,0.2,
2013,0.2,
2014,0.3,
2015,0.4,
2016,0.5,
2017,0.4,
2018,0.3,
2019,0.4,
2020,0.5,
