연도,5cm 이상 발생 일수 합계,20cm 이상 발생 일수 합계,
1973,27,2,
1974,19,0,
1975,22,0,
1976,23,0,
1977,28,1,
1978,18,2,
1979,27,0,
1980,61,5,
1981,21,0,
1982,22,0,
1983,26,2,
1984,40,0,
1985,29,0,
1986,27,0,
1987,7,0,
1988,13,0,
1989,27,1,
1990,25,0,
1991,20,0,
1992,13,0,
1993,24,1,
1994,10,0,
1995,8,0,
1996,19,0,
1997,29,0,
1998,11,0,
1999,18,0,
2000,23,2,
2001,12,0,
2002,26,0,
2003,20,1,
2004,14,3,
2005,34,3,
2006,14,1,
2007,20,1,
2008,23,0,
2009,41,3,
2010,29,5,
2011,14,0,
2012,30,0,
2013,25,0,
2014,27,2,
2015,32,0,
2016,11,0,
2017,21,0,
2018,4,0,
2019,3,0,
