년월,전지구,마우나로아(미국),안면도,고산,
198401,303.8,,,,
198402,303.8,,,,
198403,303.7,,,,
198404,303.7,,,,
198405,303.7,,,,
198406,303.7,,,,
198407,303.7,,,,
198408,303.8,,,,
198409,303.9,,,,
198410,304.0,,,,
198411,304.2,,,,
198412,304.3,,,,
198501,304.4,,,,
198502,304.5,,,,
198503,304.4,,,,
198504,304.3,,,,
198505,304.3,,,,
198506,304.3,,,,
198507,304.2,,,,
198508,304.3,,,,
198509,304.4,,,,
198510,304.6,,,,
198511,304.8,,,,
198512,304.9,,,,
198601,305.0,,,,
198602,305.1,,,,
198603,305.2,,,,
198604,305.2,,,,
198605,305.2,,,,
198606,305.2,,,,
198607,305.3,,,,
198608,305.3,,,,
198609,305.4,,,,
198610,305.6,,,,
198611,305.7,,,,
198612,305.8,,,,
198701,305.9,,,,
198702,305.9,,,,
198703,305.9,,,,
198704,305.7,,,,
198705,305.7,,,,
198706,305.7,,,,
198707,305.7,,,,
198708,305.8,,,,
198709,305.9,,,,
198710,306.1,,,,
198711,306.2,,,,
198712,306.3,,,,
198801,306.5,,,,
198802,306.5,,,,
198803,306.5,,,,
198804,306.5,,,,
198805,306.5,,,,
198806,306.5,,,,
198807,306.5,,,,
198808,306.6,,,,
198809,306.7,,,,
198810,306.9,,,,
198811,307.1,,,,
198812,307.2,,,,
198901,307.3,,,,
198902,307.4,,,,
198903,307.4,,,,
198904,307.4,,,,
198905,307.4,,,,
198906,307.4,,,,
198907,307.5,,,,
198908,307.6,,,,
198909,307.7,,,,
198910,307.9,,,,
198911,308.1,,,,
198912,308.2,,,,
199001,308.3,,,,
199002,308.4,,,,
199003,308.4,,,,
199004,308.4,,,,
199005,308.4,,,,
199006,308.5,,,,
199007,308.5,,,,
199008,308.6,,,,
199009,308.7,,,,
199010,308.8,,,,
199011,309.0,,,,
199012,309.1,,,,
199101,309.2,,,,
199102,309.3,,,,
199103,309.3,,,,
199104,309.2,,,,
199105,309.2,,,,
199106,309.2,,,,
199107,309.2,,,,
199108,309.2,,,,
199109,309.3,,,,
199110,309.5,,,,
199111,309.6,,,,
199112,309.7,,,,
199201,309.8,,,,
199202,309.8,,,,
199203,309.9,,,,
199204,309.8,,,,
199205,309.7,,,,
199206,309.7,,,,
199207,309.8,,,,
199208,309.8,,,,
199209,309.9,,,,
199210,310.0,,,,
199211,310.1,,,,
199212,310.2,,,,
199301,310.2,,,,
199302,310.2,,,,
199303,310.2,,,,
199304,310.1,,,,
199305,310.0,,,,
199306,309.9,,,,
199307,309.9,,,,
199308,309.9,,,,
199309,310.0,,,,
199310,310.1,,,,
199311,310.2,,,,
199312,310.4,,,,
199401,310.5,,,,
199402,310.5,,,,
199403,310.5,,,,
199404,310.5,,,,
199405,310.5,,,,
199406,310.5,,,,
199407,310.6,,,,
199408,310.6,,,,
199409,310.7,,,,
199410,310.9,,,,
199411,311.1,,,,
199412,311.2,,,,
199501,311.3,,,,
199502,311.3,,,,
199503,311.3,,,,
199504,311.3,,,,
199505,311.2,,,,
199506,311.2,,,,
199507,311.2,,,,
199508,311.3,,,,
199509,311.4,,,,
199510,311.5,,,,
199511,311.7,,,,
199512,311.8,,,,
199601,311.9,,,,
199602,311.9,,,,
199603,311.9,,,,
199604,311.9,,,,
199605,311.9,,,,
199606,311.9,,,,
199607,311.9,,,,
199608,312.0,,,,
199609,312.1,,,,
199610,312.2,,,,
199611,312.4,,,,
199612,312.5,,,,
199701,312.6,,,,
199702,312.7,,,,
199703,312.7,,,,
199704,312.7,,,,
199705,312.7,,,,
199706,312.7,,,,
199707,312.8,,,,
199708,312.8,,,,
199709,312.9,,,,
199710,313.1,,,,
199711,313.3,,,,
199712,313.4,,,,
199801,313.5,,,,
199802,313.6,,,,
199803,313.6,,,,
199804,313.5,,,,
199805,313.6,,,,
199806,313.6,,,,
199807,313.6,,,,
199808,313.7,,,,
199809,313.8,,,,
199810,314.0,,,,
199811,314.1,,,,
199812,314.2,,,,
199901,314.4,,,,
199902,314.5,,315.2,,
199903,314.5,,314.6,,
199904,314.4,,314.2,,
199905,314.4,,314.6,,
199906,314.4,,315.6,,
199907,314.4,315.2,316.3,,
199908,314.5,315.1,316.4,,
199909,314.7,315.1,314.0,,
199910,314.8,315.2,312.1,,
199911,315.0,315.5,313.7,,
199912,315.2,315.4,313.8,,
200001,315.4,315.6,312.6,,
200002,315.5,315.8,313.4,,
200003,315.5,315.7,313.6,,
200004,315.5,315.8,314.1,,
200005,315.5,315.8,315.4,,
200006,315.5,316.0,315.4,,
200007,315.6,316.2,315.0,,
200008,315.7,315.8,314.5,,
200009,315.8,316.6,314.9,,
200010,315.9,316.5,316.3,,
200011,316.1,316.7,316.5,,
200012,316.3,316.5,316.5,,
200101,316.4,316.6,315.8,,
200102,316.3,316.7,314.3,,
200103,316.3,316.7,314.3,,
200104,316.3,316.5,315.3,,
200105,316.2,316.6,316.0,,
200106,316.2,316.7,317.0,,
200107,316.3,316.8,317.3,,
200108,316.3,316.9,316.6,,
200109,316.4,317.1,315.7,,
200110,316.6,317.3,315.7,,
200111,316.7,317.4,316.7,,
200112,316.9,317.4,317.6,,
200201,317.0,317.5,317.8,,
200202,317.1,317.2,317.7,,
200203,317.0,317.5,317.7,,
200204,316.9,317.5,318.3,,
200205,316.9,317.9,318.8,,
200206,316.9,,319.0,,
200207,316.9,,318.9,,
200208,317.0,,318.2,,
200209,317.0,317.4,318.0,,
200210,317.2,317.7,318.0,,
200211,317.3,317.8,318.3,,
200212,317.4,317.8,319.0,,
200301,317.5,317.9,318.5,,
200302,317.5,317.8,318.7,,
200303,317.6,318.1,320.2,,
200304,317.6,318.1,320.2,,
200305,317.6,318.2,,,
200306,317.6,318.2,,,
200307,317.7,318.3,,,
200308,317.7,318.3,,,
200309,317.9,318.5,,,
200310,318.0,318.6,,,
200311,318.1,318.6,,,
200312,318.2,318.6,,,
200401,318.3,318.8,,,
200402,318.3,318.7,,,
200403,318.3,318.7,,,
200404,318.3,318.8,,,
200405,318.3,318.9,,,
200406,318.2,318.9,,,
200407,318.3,318.9,,,
200408,318.3,319.0,,,
200409,318.4,319.1,,,
200410,318.5,319.2,,,
200411,318.7,319.3,,,
200412,318.9,319.3,,,
200501,319.0,319.5,,,
200502,319.0,319.5,,,
200503,319.0,319.6,,,
200504,319.0,319.6,,,
200505,318.9,319.6,,,
200506,318.9,319.7,,,
200507,319.0,319.8,,,
200508,319.1,320.0,,,
200509,319.2,319.8,,,
200510,319.3,319.9,,,
200511,319.5,319.9,,,
200512,319.7,320.2,,,
200601,319.8,320.2,,,
200602,319.9,320.2,,,
200603,319.9,320.1,,,
200604,319.8,320.3,,,
200605,319.8,320.3,,,
200606,319.8,320.4,,,
200607,319.9,320.4,,,
200608,319.9,320.5,321.1,,
200609,320.0,320.5,321.8,,
200610,320.2,320.7,321.7,,
200611,320.3,320.7,321.7,,
200612,320.4,320.9,322.0,,
200701,320.5,321.0,322.9,,
200702,320.6,321.1,323.5,,
200703,320.5,321.0,322.4,,
200704,320.5,321.2,321.3,,
200705,320.5,321.2,321.0,,
200706,320.4,321.3,320.7,,
200707,320.4,321.3,321.9,,
200708,320.5,321.3,322.4,,
200709,320.8,321.4,321.0,,
200710,321.0,321.6,321.4,,
200711,321.2,321.7,321.9,,
200712,321.3,321.8,321.8,,
200801,321.5,321.9,322.3,,
200802,321.5,321.9,321.9,,
200803,321.5,321.9,321.3,,
200804,321.5,322.1,320.9,,
200805,321.5,322.0,321.6,,
200806,321.5,322.1,324.1,,
200807,321.5,322.3,323.7,,
200808,321.5,322.3,321.6,,
200809,321.6,322.4,323.8,,
200810,321.8,322.6,325.3,,
200811,322.0,322.6,323.3,,
200812,322.1,322.7,322.7,,
200901,322.3,322.8,323.3,,
200902,322.4,322.7,323.3,,
200903,322.4,322.6,323.6,,
200904,322.3,322.8,323.8,,
200905,322.2,322.9,323.4,,
200906,322.1,322.9,323.6,,
200907,322.2,322.8,324.5,,
200908,322.3,323.0,324.4,,
200909,322.5,323.1,323.9,,
200910,322.7,323.1,324.2,,
200911,322.8,323.2,324.1,,
200912,322.9,323.4,323.8,,
201001,323.0,323.5,323.2,,
201002,323.1,323.4,323.3,,
201003,323.1,,324.4,,
201004,323.2,323.6,324.4,,
201005,323.1,323.7,324.3,,
201006,323.2,323.8,325.3,,
201007,323.2,323.8,325.4,,
201008,323.2,323.9,325.7,,
201009,323.4,323.9,326.4,,
201010,323.6,324.2,326.6,,
201011,323.8,324.3,325.8,,
201012,324.0,324.5,324.3,,
201101,324.1,324.4,324.5,,
201102,324.2,324.5,325.3,,
201103,324.2,324.6,324.5,,
201104,324.1,324.6,324.5,,
201105,324.1,324.6,324.9,,
201106,324.1,324.6,324.8,,
201107,324.2,324.7,325.5,,
201108,324.3,324.9,324.5,,
201109,324.4,324.9,322.6,,
201110,324.6,325.1,322.8,,
201111,324.8,325.1,322.9,,
201112,324.9,325.2,324.1,,
201201,325.0,325.4,326.6,322.5,
201202,325.1,325.5,326.7,324.8,
201203,325.1,325.3,326.2,325.4,
201204,325.1,325.5,,325.9,
201205,325.0,325.4,,326.1,
201206,325.0,325.4,,326.3,
201207,325.1,325.5,,326.5,
201208,325.1,325.6,,325.8,
201209,325.3,325.7,,327.0,
201210,325.5,326.0,,325.9,
201211,325.6,325.9,,325.1,
201212,325.7,326.0,,325.2,
201301,325.9,326.1,,326.4,
201302,325.9,326.1,,327.0,
201303,326.0,326.1,,324.5,
201304,326.0,326.3,,324.3,
201305,326.0,326.5,,325.2,
201306,326.0,326.4,,325.2,
201307,326.1,326.4,,324.1,
201308,326.1,326.6,,326.0,
201309,326.3,326.6,,326.5,
201310,326.4,326.6,,326.9,
201311,326.6,326.8,325.5,327.1,
201312,326.8,326.9,326.6,327.3,
201401,326.9,327.0,,327.5,
201402,326.9,327.2,,327.9,
201403,327.0,327.3,,329.0,
201404,327.0,327.4,,329.1,
201405,327.0,327.7,,329.0,
201406,327.1,327.8,,328.3,
201407,327.2,328.0,,327.5,
201408,327.3,327.6,326.0,326.3,
201409,327.5,327.7,325.7,326.6,
201410,327.7,327.9,325.8,325.6,
201411,327.8,327.9,326.3,325.7,
201412,328.0,328.0,325.5,326.5,
201501,328.1,328.1,328.1,329.0,
