년월,전지구,마우나로아(미국),안면도,고산,울릉도,
199907,4.4,4.4,,,,
199908,4.4,4.4,,,,
199909,4.4,4.5,,,,
199910,4.4,4.5,,,,
199911,4.5,4.5,,,,
199912,4.5,4.6,,,,
200001,4.5,,,,,
200002,4.5,4.6,,,,
200003,4.5,4.6,,,,
200004,4.5,4.6,,,,
200005,4.5,4.6,,,,
200006,4.6,4.7,,,,
200007,4.6,4.7,,,,
200008,4.6,4.7,,,,
200009,4.6,4.7,,,,
200010,4.6,4.7,,,,
200011,4.6,4.7,,,,
200012,4.7,4.7,,,,
200101,4.7,4.8,,,,
200102,4.7,4.8,,,,
200103,4.7,4.8,,,,
200104,4.7,4.9,,,,
200105,4.7,4.9,,,,
200106,4.8,4.8,,,,
200107,4.8,4.9,,,,
200108,4.8,4.9,,,,
200109,4.8,4.9,,,,
200110,4.8,4.9,,,,
200111,4.9,5.0,,,,
200112,4.9,4.9,,,,
200201,4.9,5.0,,,,
200202,4.9,5.0,,,,
200203,4.9,5.0,,,,
200204,5.0,5.1,,,,
200205,5.0,5.0,,,,
200206,5.0,,,,,
200207,5.0,,,,,
200208,5.0,,,,,
200209,5.0,5.1,,,,
200210,5.1,5.1,,,,
200211,5.1,5.2,,,,
200212,5.1,5.2,,,,
200301,5.1,5.2,,,,
200302,5.1,5.2,,,,
200303,5.1,5.2,,,,
200304,5.2,5.2,,,,
200305,5.2,5.2,,,,
200306,5.2,5.3,,,,
200307,5.2,5.3,,,,
200308,5.2,5.3,,,,
200309,5.3,5.3,,,,
200310,5.3,5.3,,,,
200311,5.3,5.4,,,,
200312,5.3,5.4,,,,
200401,5.3,5.4,,,,
200402,5.3,5.4,,,,
200403,5.4,5.4,,,,
200404,5.4,5.4,,,,
200405,5.4,5.5,,,,
200406,5.4,5.5,,,,
200407,5.4,5.5,,,,
200408,5.5,5.5,,,,
200409,5.5,5.6,,,,
200410,5.5,5.6,,,,
200411,5.5,5.6,,,,
200412,5.5,5.6,,,,
200501,5.6,5.6,,,,
200502,5.6,5.6,,,,
200503,5.6,5.7,,,,
200504,5.6,5.7,,,,
200505,5.6,5.7,,,,
200506,5.6,5.7,,,,
200507,5.7,5.7,,,,
200508,5.7,5.7,,,,
200509,5.7,5.8,,,,
200510,5.8,5.8,,,,
200511,5.8,5.8,,,,
200512,5.8,5.8,,,,
200601,5.8,5.9,,,,
200602,5.8,5.9,,,,
200603,5.8,5.9,,,,
200604,5.9,6.0,,,,
200605,5.9,6.0,,,,
200606,5.9,6.0,,,,
200607,5.9,6.0,,,,
200608,5.9,6.0,,,,
200609,6.0,6.0,,,,
200610,6.0,6.0,,,,
200611,6.0,6.1,,,,
200612,6.0,6.1,,,,
200701,6.1,6.1,,,,
200702,6.1,6.1,,,,
200703,6.1,6.1,6.2,,,
200704,6.1,,6.4,,,
200705,6.1,6.2,6.3,,,
200706,6.2,6.2,6.5,,,
200707,6.2,6.2,6.6,,,
200708,6.2,6.3,6.1,,,
200709,6.2,6.3,6.0,,,
200710,6.3,6.3,6.0,,,
200711,6.3,6.3,6.4,,,
200712,6.3,6.4,6.8,,,
200801,6.3,6.4,6.6,,,
200802,6.3,6.3,6.4,,,
200803,6.4,6.4,6.5,,,
200804,6.4,6.4,6.0,,,
200805,6.4,6.5,6.6,,,
200806,6.4,6.5,6.9,,,
200807,6.5,6.5,6.8,,,
200808,6.5,6.5,6.7,,,
200809,6.5,6.5,6.2,,,
200810,6.5,6.6,6.4,,,
200811,6.6,6.6,7.0,,,
200812,6.6,6.6,7.1,,,
200901,6.6,6.7,7.0,,,
200902,6.7,6.7,7.2,,,
200903,6.7,6.7,7.1,,,
200904,6.7,6.7,7.3,,,
200905,6.7,6.7,7.3,,,
200906,6.7,6.8,7.3,,,
200907,6.7,6.8,7.4,,,
200908,6.8,6.8,7.4,,,
200909,6.8,6.8,7.4,,,
200910,6.8,6.9,7.2,,,
200911,6.8,6.9,7.4,,,
200912,6.9,6.8,7.2,,,
201001,6.9,7.0,7.5,,,
201002,6.9,7.0,7.1,,,
201003,6.9,7.0,7.5,,,
201004,7.0,7.0,7.8,,,
201005,7.0,7.1,7.8,,,
201006,7.0,7.1,7.9,,,
201007,7.0,7.2,7.0,,,
201008,7.1,7.2,6.8,,,
201009,7.1,7.2,7.2,,,
201010,7.1,7.3,8.4,,,
201011,7.2,7.3,8.6,,,
201012,7.2,7.2,8.4,,,
201101,7.2,7.3,8.3,,,
201102,7.2,7.3,8.0,,,
201103,7.2,7.3,7.7,,,
201104,7.3,7.3,7.6,,,
201105,7.3,7.4,7.7,,,
201106,7.3,7.4,7.8,,,
201107,7.3,7.4,8.2,,,
201108,7.3,7.4,7.9,,,
201109,7.4,7.5,8.3,,,
201110,7.4,7.5,8.2,,,
201111,7.4,7.5,8.7,,,
201112,7.5,7.5,8.7,,,
201201,7.5,7.6,8.1,,,
201202,7.5,7.6,7.9,,,
201203,7.5,7.6,8.0,,,
201204,7.6,7.6,8.0,,,
201205,7.6,7.7,8.3,,,
201206,7.6,7.7,7.9,,,
201207,7.6,7.6,7.8,,,
201208,7.6,7.7,8.4,,,
