연월,안면도,고산,울릉도,포항,
200801,2.00,,,,
200802,3.10,,,,
200803,4.10,,,,
200804,5.40,,,,
200805,6.40,,,,
200806,7.30,,,,
200807,7.80,,,,
200808,8.10,,,,
200809,6.20,,,,
200810,4.10,,,,
200811,2.40,,,,
200812,1.70,,,,
200901,2.00,,,-999.00,
200902,2.70,,,-999.00,
200903,4.10,,,-999.00,
200904,5.40,,,-999.00,
200905,6.30,,,-999.00,
200906,6.80,,,-999.00,
200907,7.40,,,7.40,
200908,7.90,,,8.20,
200909,6.30,,,6.40,
200910,4.10,,,5.10,
200911,2.30,,,2.70,
200912,1.40,,,1.80,
201001,1.90,,,2.00,
201002,2.30,,,2.40,
201003,3.40,,,3.10,
201004,5.20,,,4.40,
201005,6.20,,,6.10,
201006,6.50,,,6.70,
201007,7.80,,,7.90,
201008,7.80,,,7.50,
201009,5.60,,,6.00,
201010,4.40,,,4.40,
201011,2.50,,,2.30,
201012,1.80,,,1.70,
201101,-999.00,,,2.20,
201102,2.80,,,2.40,
201103,4.60,,,3.90,
201104,5.70,,,5.40,
201105,6.90,,,5.80,
201106,7.30,,,7.30,
201107,7.70,,,8.20,
201108,8.20,,,8.30,
201109,7.50,,,7.40,
201110,4.80,,,5.60,
201111,3.00,,,3.00,
201112,2.00,,,-999.00,
201201,3.90,2.60,1.30,2.40,
201202,4.50,3.60,2.90,4.00,
201203,6.40,4.60,4.00,5.10,
201204,7.90,6.00,-999.00,7.40,
201205,8.70,7.60,7.00,8.20,
201206,9.90,8.10,-999.00,8.90,
201207,8.30,9.00,-999.00,9.00,
201208,6.70,9.60,7.20,8.10,
201209,5.20,7.40,6.40,7.00,
201210,2.80,6.00,4.40,5.80,
201211,1.90,3.30,2.20,3.40,
201212,2.80,2.20,1.20,2.20,
201301,3.90,2.80,1.80,2.70,
201302,5.90,3.90,2.50,4.10,
201303,7.00,5.90,3.70,5.70,
201304,8.60,7.00,5.20,6.70,
201305,7.80,8.60,6.50,8.00,
201306,8.50,7.80,6.60,8.00,
201307,8.50,8.50,7.10,7.60,
201308,7.00,8.50,6.60,7.00,
201309,5.90,7.00,5.40,5.30,
201310,3.40,5.90,-999.00,4.60,
201311,2.20,3.40,-999.00,3.00,
201312,2.60,2.20,-999.00,1.90,
201401,3.20,2.60,-999.00,2.40,
201402,4.40,3.20,-999.00,2.90,
201403,6.20,4.40,3.80,-999.00,
201404,7.50,6.20,5.20,5.30,
201405,7.90,7.50,7.00,7.00,
201406,8.00,7.90,6.60,6.00,
201407,8.30,8.00,7.30,8.10,
201408,7.00,8.30,5.60,6.70,
201409,5.60,7.00,5.80,6.10,
201410,3.50,5.60,4.10,4.20,
201411,2.20,3.50,2.40,2.60,
201412,2.40,2.20,1.40,1.80,
201501,3.10,2.40,1.60,1.90,
201502,5.00,3.10,2.50,2.50,
201503,6.40,5.00,4.00,4.20,
201504,8.30,6.40,5.20,5.10,
201505,7.60,8.30,7.30,7.20,
201506,8.70,7.60,7.70,6.60,
201507,8.30,8.70,7.90,7.30,
201508,6.80,8.30,7.10,7.20,
201509,5.50,6.80,5.20,5.90,
201510,2.60,5.50,4.30,4.40,
201511,2.20,2.60,1.90,2.00,
201512,2.10,2.20,1.50,1.60,
201601,3.20,2.10,1.60,1.80,
201602,5.00,3.20,2.40,2.70,
201603,6.50,5.00,4.60,4.10,
201604,8.00,6.50,6.30,5.30,
201605,7.70,8.00,7.80,7.10,
201606,8.80,7.70,8.50,6.80,
201607,9.20,8.80,8.60,7.60,
201608,6.60,9.20,8.40,7.50,
201609,4.90,6.60,5.80,4.60,
201610,3.20,4.90,3.90,4.10,
201611,2.50,3.20,2.10,2.40,
201612,3.40,2.50,1.60,2.00,
201701,4.40,3.40,1.80,2.40,
201702,5.50,4.40,2.60,3.40,
201703,6.80,5.50,4.00,4.40,
201704,8.40,6.80,6.10,6.00,
201705,8.20,8.40,7.60,7.30,
201706,9.70,8.20,8.50,7.90,
201707,10.20,9.70,8.20,7.30,
201708,-999.00,10.20,7.80,8.50,
201709,5.80,-999.00,6.50,6.30,
201710,4.00,5.80,4.40,4.20,
201711,2.50,4.00,2.50,2.70,
201712,2.70,2.50,1.50,1.80,
201801,3.60,2.70,1.70,2.00,
201802,5.50,3.60,2.50,2.70,
201803,7.30,5.50,4.20,3.90,
201804,7.90,7.30,5.40,5.20,
201805,8.70,7.90,7.80,6.20,
201806,10.60,8.70,7.80,6.90,
201807,9.30,10.60,8.30,7.70,
201808,7.80,9.30,8.50,7.20,
201809,6.50,7.80,6.20,5.70,
201810,4.30,6.50,5.80,5.00,
201811,2.80,4.30,3.40,3.00,
201812,2.60,2.80,2.20,2.30,
201901,3.60,3.50,2.50,2.80,
201902,4.60,4.50,3.50,4.00,
201903,6.20,5.90,4.60,5.20,
201904,7.80,7.90,5.80,6.90,
201905,8.10,8.70,7.40,8.60,
201906,7.80,8.00,8.00,8.30,
201907,9.20,7.60,8.60,9.30,
201908,5.90,8.00,8.80,9.40,
201909,4.60,6.60,6.90,6.70,
201910,2.70,-999.00,5.30,5.10,
201911,1.70,3.80,2.70,3.30,
201912,,2.50,2.20,2.30,
