연도,국내 연평균 해수면온도 편차,
1968,-0.9,
1969,-0.9,
1970,-0.9,
1971,-0.9,
1972,-0.4,
1973,-0.4,
1974,-1.0,
1975,-0.1,
1976,-0.6,
1977,-1.0,
1978,0.2,
1979,0.4,
1980,-1.0,
1981,-1.1,
1982,0.2,
1983,0.0,
1984,-0.8,
1985,-0.3,
1986,-0.7,
1987,-0.6,
1988,0.0,
1989,-0.3,
1990,0.3,
1991,-0.4,
1992,-0.2,
1993,-0.9,
1994,0.1,
1995,-0.1,
1996,0.0,
1997,0.3,
1998,0.7,
1999,0.2,
2000,0.0,
2001,0.6,
2002,0.0,
2003,-0.1,
2004,0.7,
2005,0.3,
2006,0.2,
2007,0.7,
2008,0.6,
2009,0.7,
2010,0.1,
2011,-0.5,
2012,0.1,
2013,0.2,
2014,0.1,
2015,0.0,
2016,1.0,
2017,0.3,
2018,0.0,
2019,0.8,
