연도,호우일수 (30 mm/h 이상),
1914,1.0,
1915,0.0,
1916,1.0,
1917,1.0,
1918,1.0,
1919,1.0,
1920,0.0,
1921,0.0,
1922,1.0,
1923,0.0,
1924,0.0,
1925,0.0,
1926,0.0,
1927,0.0,
1928,0.0,
1929,2.0,
1930,0.0,
1931,1.0,
1932,0.0,
1933,2.0,
1934,1.0,
1935,1.0,
1936,0.0,
1937,2.0,
1938,5.0,
1939,3.0,
1940,4.0,
1941,5.0,
1942,7.0,
1943,4.0,
1944,2.0,
1945,5.0,
1946,3.0,
1947,8.0,
1948,9.0,
1949,2.0,
1950,0.0,
1951,2.0,
1952,6.0,
1953,4.0,
1954,4.0,
1955,6.0,
1956,8.0,
1957,4.0,
1958,4.0,
1959,8.0,
1960,7.0,
1961,18.0,
1962,4.0,
1963,15.0,
1964,8.0,
1965,8.0,
1966,11.0,
1967,7.0,
1968,10.0,
1969,18.0,
1970,10.0,
1971,9.0,
1972,17.0,
1973,5.0,
1974,5.0,
1975,4.0,
1976,5.0,
1977,6.0,
1978,5.0,
1979,6.0,
1980,7.0,
1981,8.0,
1982,9.0,
1983,11.0,
1984,8.0,
1985,11.0,
1986,6.0,
1987,13.0,
1988,6.0,
1989,7.0,
1990,10.0,
1991,16.0,
1992,8.0,
1993,8.0,
1994,4.0,
1995,12.0,
1996,6.0,
1997,11.0,
1998,20.0,
1999,14.0,
2000,8.0,
2001,14.0,
2002,8.0,
2003,15.0,
2004,12.0,
2005,16.0,
2006,15.0,
2007,5.0,
2008,14.0,
2009,11.0,
2010,17.0,
2011,15.0,
2012,15.0,
2013,12.0,
2014,5.0,
2015,5.0,
2016,14.0,
2017,17.0,
2018,13.0,
2019,6.0,
2020,18.0,
