연도,6개 지점,45개 지점,강수 시나리오 RCP2.6,강수 시나리오 RCP4.5,강수 시나리오 RCP6.0,강수 시나리오 RCP8.5,
1912,-297.5,,,,,,
1913,-485.3,,,,,,
1914,-104.8,,,,,,
1915,-36.1,,,,,,
1916,322.9,,,,,,
1917,-485.8,,,,,,
1918,-130.5,,,,,,
1919,-200.7,,,,,,
1920,-26.4,,,,,,
1921,-213.0,,,,,,
1923,-84.6,,,,,,
1924,-388.2,,,,,,
1925,246.0,,,,,,
1926,108.0,,,,,,
1927,-239.3,,,,,,
1928,-299.2,,,,,,
1929,-416.8,,,,,,
1930,151.9,,,,,,
1931,1.1,,,,,,
1932,-471.9,,,,,,
1933,193.1,,,,,,
1934,49.8,,,,,,
1935,-231.7,,,,,,
1936,237.1,,,,,,
1937,-311.9,,,,,,
1938,-279.6,,,,,,
1939,-604.3,,,,,,
1940,149.2,,,,,,
1941,-97.2,,,,,,
1942,-377.0,,,,,,
1943,-520.2,,,,,,
1944,-381.2,,,,,,
1945,37.9,,,,,,
1946,-8.1,,,,,,
1947,-121.6,,,,,,
1948,114.1,,,,,,
1949,-442.2,,,,,,
1954,208.5,,,,,,
1955,-301.9,,,,,,
1956,247.4,,,,,,
1957,-84.5,,,,,,
1958,26.0,,,,,,
1959,-43.3,,,,,,
1960,-173.1,,,,,,
1961,167.7,,,,,,
1962,-225.2,,,,,,
1963,128.6,,,,,,
1964,-17.1,,,,,,
1965,-191.8,,,,,,
1966,-24.7,,,,,,
1967,-308.3,,,,,,
1968,-274.6,,,,,,
1969,175.9,,,,,,
1970,209.8,,,,,,
1971,-192.6,,,,,,
1972,343.9,,,,,,
1973,-404.6,-293.0,,,,,
1974,1.8,34.8,,,,,
1975,-102.4,-16.0,,,,,
1976,-279.1,-256.0,,,,,
1977,-310.8,-337.9,,,,,
1978,-147.9,-96.6,,,,,
1979,-90.7,51.6,,,,,
1980,45.5,128.4,,,,,
1981,-78.3,-48.2,,,,,
1982,-364.7,-355.6,,,,,
1983,-137.5,-137.4,,,,,
1984,-65.1,-43.2,,,,,
1985,319.9,315.7,,,,,
1986,-150.4,-98.8,,,,,
1987,123.0,194.7,,,,,
1988,-468.9,-459.2,,,,,
1989,138.3,140.4,,,,,
