연도,전지구,
1901,-42.0,
1902,-63.0,
1903,-16.0,
1904,-38.0,
1905,-53.0,
1906,-8.0,
1907,-36.0,
1908,-6.0,
1909,-5.0,
1910,-1.0,
1911,-16.0,
1912,-30.0,
1913,-35.0,
1914,-36.0,
1915,-26.0,
1916,27.0,
1917,0.0,
1918,-22.0,
1919,-47.0,
1920,-11.0,
1921,18.0,
1922,7.0,
1923,3.0,
1924,11.0,
1925,-10.0,
1926,4.0,
1927,-4.0,
1928,11.0,
1929,-4.0,
1930,-32.0,
1931,-5.0,
1932,-7.0,
1933,-11.0,
1934,-3.0,
1935,-11.0,
1936,2.0,
1937,-20.0,
1938,-11.0,
1939,-6.0,
1940,-22.0,
1941,-23.0,
1942,-17.0,
1943,-22.0,
1944,-20.0,
1945,-14.0,
1946,-14.0,
1947,6.0,
1948,-1.0,
1949,-7.0,
1950,3.0,
1951,-9.0,
1952,-8.0,
1953,12.0,
1954,27.0,
1955,31.0,
1956,37.0,
1957,-6.0,
1958,9.0,
1959,23.0,
1960,15.0,
1961,10.0,
1962,0.0,
1963,-12.0,
1964,3.0,
1965,-24.0,
1966,0.0,
1967,4.0,
1968,-20.0,
1969,-12.0,
1970,4.0,
1971,-3.0,
1972,-10.0,
1973,23.0,
1974,13.0,
1975,20.0,
1976,-5.0,
1977,-8.0,
1978,6.0,
1979,3.0,
1980,3.0,
1981,10.0,
1982,-24.0,
1983,-27.0,
1984,1.0,
1985,-6.0,
1986,-13.0,
1987,-27.0,
1988,18.0,
1989,14.0,
1990,-12.0,
1991,-12.0,
1992,-35.0,
1993,-18.0,
1994,19.0,
1995,-20.0,
1996,19.0,
1997,-9.0,
1998,12.0,
1999,20.0,
2000,33.0,
2001,-17.0,
2002,-33.0,
2003,-19.0,
2004,7.0,
2005,22.0,
2006,14.0,
2007,4.0,
2008,31.0,
2009,-7.0,
2010,55.0,
2011,53.0,
2012,3.0,
2013,24.0,
2014,0.0,
2015,-33.0,
2016,2.0,
2017,49.0,
2018,39.0,
2019,-15.0,
2020,39.0,
