연도,6개 지점,45개 지점,기온 시나리오 RCP2.6,기온 시나리오 RCP4.5,기온 시나리오 RCP6.0,기온 시나리오 RCP8.5,
1912,-1.9,,,,,,
1913,-2.2,,,,,,
1914,-0.6,,,,,,
1915,-1.4,,,,,,
1916,-1.5,,,,,,
1917,-3.9,,,,,,
1918,-2.1,,,,,,
1919,-1.6,,,,,,
1920,-1.2,,,,,,
1921,-1.7,,,,,,
1922,-1.4,,,,,,
1923,-1.8,,,,,,
1924,-1.7,,,,,,
1925,-1.8,,,,,,
1926,-2.0,,,,,,
1927,-1.6,,,,,,
1928,-1.6,,,,,,
1929,-1.3,,,,,,
1930,-1.0,,,,,,
1931,-1.8,,,,,,
1932,-1.3,,,,,,
1933,-1.7,,,,,,
1934,-2.1,,,,,,
1935,-1.1,,,,,,
1936,-2.5,,,,,,
1937,-1.0,,,,,,
1938,-1.5,,,,,,
1939,-0.9,,,,,,
1940,-1.5,,,,,,
1941,-1.4,,,,,,
1942,-1.3,,,,,,
1943,-1.0,,,,,,
1944,-1.4,,,,,,
1945,-2.0,,,,,,
1946,-1.1,,,,,,
1947,-2.7,,,,,,
1948,-0.8,,,,,,
1949,-1.1,,,,,,
1954,-1.1,,,,,,
1955,-0.9,,,,,,
1956,-2.3,,,,,,
1957,-1.9,,,,,,
1958,-1.0,,,,,,
1959,-0.4,,,,,,
1960,-0.5,,,,,,
1961,-0.2,,,,,,
1962,-0.9,,,,,,
1963,-1.5,,,,,,
1964,-0.6,,,,,,
1965,-1.3,,,,,,
1966,-1.1,,,,,,
1967,-1.1,,,,,,
1968,-1.2,,,,,,
1969,-1.7,,,,,,
1970,-1.4,,,,,,
1971,-1.2,,,,,,
1972,-1.0,,,,,,
1973,-0.3,-0.1,,,,,
1974,-1.3,-1.1,,,,,
1975,-0.2,0.1,,,,,
1976,-1.0,-0.8,,,,,
1977,-0.4,-0.2,,,,,
1978,0.1,0.3,,,,,
1979,0.1,0.1,,,,,
1980,-1.4,-1.3,,,,,
1981,-1.2,-1.1,,,,,
1982,-0.1,-0.1,,,,,
1983,-0.3,-0.2,,,,,
1984,-0.9,-0.7,,,,,
1985,-0.6,-0.4,,,,,
1986,-1.2,-1.0,,,,,
1987,-0.4,-0.3,,,,,
1988,-0.4,-0.4,,,,,
1989,0.3,0.3,,,,,
1990,0.5,0.6,,,,,
1991,-0.2,-0.3,,,,,
1992,0.1,-0.1,,,,,
1993,-0.6,-0.7,,,,,
1994,1.0,0.7,,,,,
1995,-0.2,-0.5,,,,,
1996,-0.4,-0.4,,,,,
1997,0.3,0.2,,,,,
1998,1.0,1.0,,,,,
1999,0.5,0.3,,,,,
2000,0.2,0.0,,,,,
2001,0.4,0.2,,,,,
2002,0.3,0.1,,,,,
2003,-0.1,0.0,,,,,
2004,0.6,0.7,,,,,
2005,-0.3,-0.2,,,,,
2006,0.3,0.4,,,,,
2007,0.8,0.7,,,,,
2008,0.5,0.4,,,,,
2009,0.4,0.5,,,,,
2010,0.0,0.2,,,,,
2011,-0.3,-0.1,,,,,
2012,-0.3,-0.2,,,,,
2013,0.3,0.4,,,,,
2014,0.6,0.6,,,,,
2015,0.8,0.9,,,,,
2016,0.9,1.1,,,,,
2017,0.5,0.6,,,,,
2018,0.4,0.5,0.3,0.5,-0.6,0.9,
2019,1.0,1.0,0.7,0.1,0.0,0.2,
2020,0.6,0.7,0.1,1.6,-0.8,0.1,
2021,,,0.8,0.3,0.6,0.8,
2022,,,1.2,0.8,0.7,0.9,
2023,,,1.6,2.4,0.4,0.5,
2024,,,2.2,1.4,0.1,0.7,
2025,,,0.6,1.2,0.0,1.4,
2026,,,0.8,0.8,0.6,2.3,
2027,,,0.7,1.0,1.0,1.2,
2028,,,1.1,1.0,0.9,1.1,
2029,,,1.3,1.8,1.1,1.1,
2030,,,1.6,0.1,0.2,1.1,
2031,,,1.3,3.1,1.7,0.9,
2032,,,0.9,1.8,0.7,1.8,
2033,,,1.7,0.3,1.1,0.3,
2034,,,2.0,0.7,1.0,0.3,
2035,,,1.4,2.4,1.0,1.2,
2036,,,2.7,1.9,0.7,1.2,
2037,,,2.0,2.5,1.0,2.8,
2038,,,1.2,1.2,1.3,1.8,
2039,,,1.8,2.0,1.7,1.8,
2040,,,0.9,2.3,1.0,2.1,
2041,,,1.4,2.7,1.0,1.8,
2042,,,1.7,1.7,1.2,1.6,
2043,,,2.4,1.4,0.5,1.8,
2044,,,1.9,0.9,0.9,2.5,
2045,,,1.1,1.6,1.1,2.2,
2046,,,1.5,1.1,1.4,1.9,
2047,,,2.2,2.1,1.4,2.2,
2048,,,1.8,1.3,2.0,1.9,
2049,,,0.5,2.1,1.2,2.4,
2050,,,1.4,2.5,1.6,3.0,
2051,,,1.8,1.6,0.8,2.7,
2052,,,2.3,2.0,0.6,2.1,
2053,,,1.9,1.9,0.8,3.3,
2054,,,2.4,2.6,1.0,2.5,
2055,,,2.4,2.9,1.5,2.5,
2056,,,1.3,2.8,2.1,2.6,
2057,,,2.0,2.6,2.1,2.7,
2058,,,2.0,2.9,2.3,3.7,
2059,,,2.4,3.2,0.1,2.6,
2060,,,2.1,3.4,2.3,3.1,
2061,,,1.0,3.9,2.1,2.8,
2062,,,2.1,2.8,1.1,3.0,
2063,,,1.4,2.3,2.0,2.8,
2064,,,1.6,2.8,2.1,3.2,
2065,,,1.4,2.6,2.0,3.5,
2066,,,1.1,2.2,2.4,3.1,
2067,,,1.7,2.2,2.6,4.2,
2068,,,2.1,3.2,1.7,5.3,
2069,,,1.1,3.0,3.2,4.3,
2070,,,1.5,3.0,1.9,3.7,
2071,,,1.8,2.9,2.0,4.6,
2072,,,1.5,2.8,2.0,4.1,
2073,,,0.4,2.5,1.7,4.6,
2074,,,2.1,3.6,2.1,4.4,
2075,,,1.2,2.4,3.4,3.2,
2076,,,1.8,3.4,1.2,3.9,
2077,,,1.5,1.8,2.4,4.1,
2078,,,0.5,3.1,2.4,4.0,
2079,,,2.3,2.2,2.1,4.7,
2080,,,1.9,3.1,3.5,5.1,
2081,,,1.7,3.5,3.1,4.3,
2082,,,2.3,2.9,3.8,4.4,
2083,,,2.2,2.9,2.3,5.4,
2084,,,1.2,2.2,2.5,5.0,
2085,,,1.8,2.8,3.2,4.3,
2086,,,1.3,3.3,3.5,5.0,
2087,,,0.9,2.7,3.7,4.7,
2088,,,1.7,2.6,3.3,5.3,
2089,,,2.3,2.7,2.8,5.8,
2090,,,1.8,3.1,3.1,3.7,
2091,,,1.4,3.1,2.7,5.0,
2092,,,1.2,2.8,3.7,5.1,
2093,,,2.0,3.8,3.6,4.8,
2094,,,1.7,3.2,3.5,5.3,
2095,,,2.1,3.3,4.3,5.1,
2096,,,1.7,3.5,4.0,4.5,
2097,,,1.9,3.6,4.0,4.2,
2098,,,1.9,3.7,3.3,6.0,
2099,,,2.8,3.6,3.4,5.7,
2100,,,1.3,3.3,4.9,5.4,
