연도,6개 지점 평균 열대야일수,45개 지점 평균 열대야일수,
1912,1.0,,
1913,1.5,,
1914,8.5,,
1915,4.3,,
1916,0.8,,
1918,0.7,,
1919,2.3,,
1920,1.8,,
1921,1.7,,
1922,6.5,,
1923,4.2,,
1924,4.3,,
1925,0.5,,
1926,4.2,,
1927,4.0,,
1928,1.2,,
1929,11.2,,
1930,7.3,,
1931,2.3,,
1932,7.3,,
1933,3.8,,
1934,3.0,,
1935,5.0,,
1936,0.3,,
1937,7.5,,
1938,2.3,,
1939,5.8,,
1940,1.0,,
1941,0.3,,
1942,10.5,,
1943,3.2,,
1944,8.5,,
1945,0.8,,
1946,3.2,,
1947,2.3,,
1948,1.0,,
1949,2.7,,
1954,5.2,,
1955,3.8,,
1956,8.2,,
1957,0.3,,
1958,3.8,,
1959,5.7,,
1960,9.5,,
1961,10.0,,
1962,4.0,,
1963,3.0,,
1964,13.8,,
1965,1.5,,
1966,12.3,,
1967,22.2,,
1968,2.0,,
1969,7.7,,
1970,3.7,,
1971,6.3,,
1972,5.0,,
1973,10.8,6.6,
1974,1.7,1.3,
1975,10.0,6.3,
1976,3.7,2.6,
1977,7.3,3.5,
1978,15.8,9.4,
1979,5.3,4.0,
1980,0.0,0.6,
1981,7.8,5.4,
1982,4.2,2.4,
1983,7.3,6.4,
1984,12.0,6.6,
1985,10.2,4.6,
1986,2.5,1.8,
1987,1.0,2.0,
1988,3.5,2.9,
1989,2.3,2.3,
1990,10.5,6.5,
1991,3.3,3.9,
1992,5.5,5.1,
1993,0.0,0.2,
1994,31.8,17.7,
1995,14.3,9.6,
1996,12.0,6.2,
1997,10.0,6.0,
1998,6.2,6.1,
1999,4.0,2.4,
2000,10.3,4.6,
2001,14.0,6.5,
2002,5.3,3.2,
2003,1.8,1.4,
2004,7.3,4.6,
2005,10.0,5.7,
2006,14.3,5.7,
2007,13.5,7.0,
2008,10.8,6.6,
2009,1.8,2.9,
2010,19.0,12.7,
2011,6.7,6.4,
2012,19.3,10.2,
2013,24.8,15.9,
2014,5.2,3.3,
2015,9.8,4.9,
2016,23.8,10.8,
2017,,10.8,
2018,,17.7,
2019,,11.0,
2020,,8.3,
