연도,일최심신적설 합계 전국평균,눈 현상일수 합계 전국평균,
1973,41.9,27.8,
1974,28.5,22.5,
1975,26.9,20.5,
1976,27.9,23.9,
1977,37.8,22.8,
1978,23.3,15.2,
1979,31.8,22.8,
1980,70.7,29.8,
1981,23.7,18.2,
1982,33.5,24.5,
1983,41.3,29.4,
1984,46.7,25.3,
1985,38.9,30.2,
1986,25.0,17.3,
1987,16.5,18.8,
1988,16.0,16.8,
1989,29.1,17.9,
1990,33.5,23.6,
1991,21.7,18.7,
1992,18.1,19.2,
1993,30.8,22.5,
1994,14.6,17.2,
1995,17.2,20.9,
1996,27.6,19.2,
1997,33.0,19.5,
1998,15.3,15.4,
1999,24.6,21.1,
2000,39.8,28.2,
2001,19.3,17.8,
2002,27.2,22.1,
2003,31.4,20.1,
2004,24.7,18.8,
2005,41.2,21.2,
2006,16.9,14.5,
2007,21.6,17.2,
2008,24.3,16.8,
2009,44.9,26.0,
2010,41.5,24.6,
2011,18.6,22.5,
2012,36.4,24.3,
2013,24.0,21.1,
2014,28.3,20.4,
2015,29.7,21.8,
2016,12.8,15.7,
2017,29.1,26.2,
2018,8.3,13.7,
2019,6.9,14.7,
