년,월,안면도,고산,울릉도,포항,
2007,09,37.82,,,,
2007,10,34.65,,,,
2007,11,25.78,,,,
2007,12,19.18,,,,
2008,01,20.99,,,,
2008,02,30.07,,,,
2008,03,35.31,,,,
2008,04,40.81,,,,
2008,05,45.29,,,,
2008,06,49.66,,,,
2008,07,46.38,,,,
2008,08,51.33,,,,
2008,09,43.43,,,,
2008,10,33.01,,,,
2008,11,24.21,,,,
2008,12,20.29,,,,
2009,01,23.81,,,,
2009,02,26.07,,,,
2009,03,37.12,,,,
2009,04,42.92,,,,
2009,05,46.33,,,,
2009,06,49.46,,,,
2009,07,48.98,,,43.06,
2009,08,49.38,,,43.38,
2009,09,42.70,,,,
2009,10,35.24,,,32.29,
2009,11,23.62,,,21.75,
2009,12,17.88,,,19.57,
2010,01,21.15,,,21.94,
2010,02,24.07,,,23.89,
2010,03,30.81,,,27.49,
2010,04,42.25,,,37.17,
2010,05,44.20,,,42.81,
2010,06,46.57,,,47.05,
2010,07,47.96,,,45.80,
2010,08,44.90,,,45.60,
2010,09,39.31,,,37.21,
2010,10,32.82,,,32.48,
2010,11,23.95,,,23.76,
2010,12,19.86,,,19.05,
2011,01,23.49,,,23.35,
2011,02,25.92,,,23.75,
2011,03,35.98,,,34.53,
2011,04,39.45,,,39.35,
2011,05,41.45,,,,
2011,06,41.14,,,43.96,
2011,07,41.50,,,44.50,
2011,08,40.40,,,39.72,
2011,09,40.12,,,35.26,
2011,10,30.99,,,29.90,
2011,11,22.79,,,20.60,
2011,12,19.46,,,,
2012,01,20.32,19.50,13.39,18.48,
2012,02,29.39,23.24,24.00,23.09,
2012,03,30.44,28.01,29.61,27.26,
2012,04,40.00,36.29,,36.59,
2012,05,44.58,43.39,42.80,40.69,
2012,06,46.78,41.92,,38.38,
2012,07,47.80,42.18,,40.06,
2012,08,43.85,43.60,38.75,38.85,
2012,09,38.57,36.71,37.62,33.19,
2012,10,32.49,31.26,27.01,29.10,
2012,11,22.97,22.05,19.71,20.88,
2012,12,18.89,16.75,12.92,16.03,
2013,01,20.39,18.31,16.73,17.72,
2013,02,25.91,21.82,20.48,22.75,
2013,03,34.71,31.44,,28.74,
2013,04,36.46,37.15,34.87,35.07,
2013,05,40.79,42.00,39.03,38.19,
2013,06,46.27,38.64,38.74,38.20,
2013,07,38.73,39.25,40.87,40.17,
2013,08,44.63,43.75,38.74,38.22,
2013,09,36.94,36.11,31.50,30.26,
2013,10,33.26,30.86,25.60,25.23,
2013,11,22.35,21.67,18.22,19.86,
2013,12,17.20,17.25,,15.48,
2014,01,19.86,19.50,,17.74,
2014,02,24.90,21.04,,18.74,
2014,03,31.57,26.66,26.56,,
2014,04,37.87,33.79,32.56,35.96,
2014,05,45.28,38.90,41.31,44.37,
2014,06,49.44,47.20,39.00,37.69,
2014,07,45.85,42.60,39.81,46.05,
2014,08,39.08,44.81,29.65,37.03,
2014,09,39.58,41.30,32.92,37.96,
2014,10,30.61,35.78,24.14,28.83,
2014,11,23.21,27.84,17.74,22.19,
2014,12,18.41,21.76,13.97,20.45,
2015,01,20.39,21.29,14.56,19.77,
2015,02,25.55,26.62,21.01,26.03,
2015,03,34.31,36.77,27.54,34.96,
2015,04,37.72,41.76,30.70,35.14,
2015,05,47.04,48.98,39.48,45.76,
2015,06,46.98,44.94,39.85,41.91,
2015,07,43.30,46.54,37.07,43.11,
2015,08,43.49,46.85,35.94,42.88,
2015,09,39.70,41.92,31.49,38.17,
2015,10,30.26,36.24,32.84,31.80,
2015,11,18.30,21.25,17.63,18.40,
2015,12,17.79,19.90,15.70,17.29,
2016,01,19.65,19.73,17.80,19.21,
2016,02,23.98,27.31,22.55,26.35,
2016,03,32.52,35.17,33.36,31.62,
2016,04,37.27,40.71,39.06,36.83,
2016,05,45.83,45.78,43.40,45.34,
2016,06,43.52,43.86,45.44,42.36,
2016,07,42.44,45.96,42.25,43.99,
2016,08,44.63,51.41,42.12,46.33,
2016,09,35.14,38.65,31.66,29.86,
2016,10,26.68,32.07,23.00,27.46,
2016,11,20.02,25.75,17.05,20.71,
2016,12,16.88,21.49,15.45,19.36,
2017,01,19.13,25.61,18.24,21.64,
2017,02,24.24,31.05,23.28,29.09,
2017,03,31.40,36.82,29.76,34.38,
2017,04,36.60,44.17,38.53,41.86,
2017,05,43.16,52.08,43.56,48.82,
2017,06,51.55,47.34,45.41,46.92,
2017,07,41.74,50.99,38.85,39.36,
2017,08,47.31,54.99,,,
2017,09,37.17,,39.14,37.71,
2017,10,27.38,35.89,31.03,29.20,
2017,11,21.23,29.39,24.13,24.24,
2017,12,16.68,22.73,19.30,20.29,
2018,01,17.99,23.90,20.79,21.05,
2018,02,22.69,30.61,26.48,26.70,
2018,03,27.71,38.75,31.81,30.06,
2018,04,33.24,47.63,35.71,33.05,
2018,05,35.09,46.38,35.65,40.81,
2018,06,47.69,51.42,45.95,45.06,
2018,07,41.23,57.75,34.36,43.55,
2018,08,49.96,52.40,45.66,42.21,
2018,09,41.62,43.62,37.79,36.47,
2018,10,33.56,35.58,32.12,32.85,
2018,11,22.36,29.13,23.71,24.13,
2018,12,20.55,20.12,18.01,18.93,
2019,01,22.26,23.68,19.81,21.26,
2019,02,27.90,28.00,26.48,26.65,
2019,03,33.47,36.93,35.57,33.63,
2019,04,39.65,46.25,43.34,38.62,
2019,05,47.43,50.17,49.55,45.37,
2019,06,49.94,47.75,44.26,44.76,
2019,07,46.35,44.65,43.13,48.22,
2019,08,51.24,51.53,44.88,46.02,
2019,09,36.98,43.23,36.21,36.06,
2019,10,32.65,36.81,31.11,32.61,
2019,11,23.52,28.59,19.47,25.81,
2019,12,18.80,21.11,19.49,21.44,
