년,월,안면도,고산,울릉도,포항,
1999,03,0.11,,,0.11,
1999,04,0.14,,,0.14,
1999,05,0.16,,,0.17,
1999,06,0.19,,,0.19,
1999,07,0.22,,,0.19,
1999,08,0.20,,,0.20,
1999,09,0.16,,,0.14,
1999,10,0.10,,,,
1999,11,0.06,,,0.06,
1999,12,0.04,,,0.04,
2000,01,0.04,,,,
2000,02,0.07,,,,
2000,03,0.10,,,0.11,
2000,04,0.13,,,,
2000,05,0.15,,,0.16,
2000,06,0.19,,,0.16,
2000,07,0.23,,,0.22,
2000,08,0.21,,,0.20,
2000,09,0.16,,,0.15,
2000,10,,,,0.11,
2000,11,0.07,,,0.07,
2000,12,0.05,,,0.05,
2001,01,0.04,,,0.04,
2001,02,0.08,,,0.07,
2001,03,0.09,,,0.10,
2001,04,0.14,,,0.14,
2001,05,0.16,,,0.15,
2001,07,0.22,,,0.23,
2001,08,0.21,,,0.21,
2001,09,0.18,,,0.17,
2001,10,0.10,,,0.10,
2001,11,0.06,,,0.06,
2001,12,0.04,,,0.05,
2002,01,0.05,,,0.05,
2002,02,0.07,,,0.08,
2002,03,0.10,,,0.11,
2002,04,0.15,,,,
2002,05,0.16,,,,
2002,06,0.18,,,0.18,
2002,07,0.21,,,0.19,
2002,08,0.18,,,0.17,
2002,09,0.14,,,0.15,
2002,10,0.10,,,0.10,
2002,11,0.05,,,0.06,
2002,12,0.04,,,0.04,
2003,01,0.04,,,0.05,
2003,02,0.06,,,0.06,
2003,03,0.09,,,0.10,
2003,04,,,,0.13,
2003,05,0.16,,,0.13,
2003,06,0.14,,,0.14,
2003,07,0.17,,,0.15,
2003,08,0.16,,,0.18,
2003,09,0.14,,,0.14,
2003,10,0.11,,,0.11,
2003,11,0.06,,,0.06,
2003,12,0.04,,,0.05,
2004,01,0.05,,,0.05,
2004,02,0.07,,,0.08,
2004,03,0.11,,,0.11,
2004,04,0.14,,,0.15,
2004,05,0.15,,,0.16,
2004,06,0.18,,,0.18,
2004,07,0.17,,,0.20,
2004,08,0.21,,,0.18,
2004,09,0.15,,,0.14,
2004,10,0.10,,,,
2004,11,0.05,,,,
2005,02,0.07,,,,
2005,03,0.11,,,,
2005,04,0.15,,,,
2005,05,0.20,,,,
2005,06,0.18,,,0.18,
2005,07,0.19,,,0.16,
2005,08,0.21,,,0.18,
2005,09,0.18,,,0.13,
2005,10,0.12,,,0.10,
2005,11,0.07,,,0.06,
2005,12,0.04,,,0.05,
2006,01,0.05,,,0.05,
2006,02,0.08,,,0.08,
2006,03,0.11,,,0.11,
2006,04,0.13,,,0.12,
2006,05,0.17,,,0.17,
2006,06,0.18,,,0.17,
2006,07,0.19,,,0.17,
2006,08,0.22,,,0.21,
2006,09,0.14,,,0.16,
2006,10,0.10,,,0.11,
2006,11,0.06,,,0.06,
2006,12,0.04,,,0.04,
2007,01,0.04,,,0.05,
2007,02,0.08,,,0.07,
2007,03,0.09,,,0.10,
2007,04,0.12,,,0.13,
2007,05,0.16,,,0.16,
2007,06,0.17,,,0.19,
2007,07,0.17,,,0.17,
2007,08,0.20,,,0.19,
2007,09,0.13,,,0.13,
2007,10,0.11,,,0.11,
2007,11,0.06,,,0.07,
2007,12,0.04,,,0.04,
2008,01,0.04,,,0.05,
2008,02,0.07,,,,
2008,03,0.09,,,0.10,
2008,04,0.13,,,0.14,
2008,05,0.15,,,0.16,
2008,06,0.17,,,0.16,
2008,07,0.18,,,0.21,
2008,08,0.19,,,0.21,
2008,09,0.14,,,0.16,
2008,10,0.09,,,0.11,
2008,11,0.05,,,0.06,
2008,12,0.04,,,0.05,
2009,01,0.04,,,0.05,
2009,02,0.06,,,0.08,
2009,03,0.09,,,0.11,
2009,04,0.12,,,0.14,
2009,05,0.14,,,0.16,
2009,06,0.16,,,0.17,
2009,07,0.17,,,0.18,
2009,08,0.18,,,0.19,
2009,09,0.14,,,0.15,
2009,10,0.09,,,0.12,
2009,11,0.05,,,0.07,
