연도,인천,안흥,보령,군산,위도,목포,흑산도,추자도,제주,서귀포,거문도,완도,여수,통영,가덕도,부산,울산,포항,속초,묵호,울릉도,
1989,458.3,352.8,389.5,365.9,335.6,240.5,185.7,172.6,151.6,158.1,175.6,206.0,183.6,147.3,98.5,69.0,33.7,16.4,22.0,18.5,23.8,
1990,460.4,354.5,389.6,367.3,334.1,239.4,185.0,172.0,151.6,157.6,174.4,204.8,182.0,144.9,96.5,66.4,30.4,14.9,20.9,17.2,20.8,
1991,456.4,355.4,389.3,370.6,334.1,237.7,185.7,173.2,152.3,158.9,176.3,207.0,184.3,146.4,97.6,69.7,31.5,15.9,21.6,17.4,19.5,
1992,455.8,357.6,389.5,369.4,334.3,235.1,185.7,173.6,153.6,161.0,177.3,207.2,185.0,147.5,98.2,70.1,32.7,17.0,23.5,19.8,16.8,
1993,457.9,348.3,384.9,362.1,330.8,241.6,185.3,169.5,149.5,158.3,174.3,203.2,182.4,144.9,95.4,67.3,29.0,15.6,21.6,18.0,9.9,
1994,457.3,351.5,391.1,365.5,333.4,240.7,188.9,171.9,154.2,161.5,175.7,205.2,183.7,145.9,97.4,68.2,24.9,14.7,22.5,18.7,10.7,
1995,454.8,354.5,390.5,361.6,329.5,239.9,186.8,169.3,152.1,158.7,173.5,202.9,180.5,143.1,94.2,66.2,30.6,13.2,21.4,17.6,18.6,
1996,457.5,355.5,389.1,361.5,331.9,240.6,186.3,169.1,152.0,158.7,174.5,203.7,181.2,143.9,95.1,66.2,27.8,13.7,21.1,16.9,13.1,
1997,458.4,354.1,391.2,364.0,329.3,242.1,187.5,172.9,155.6,162.1,177.3,205.2,183.0,145.6,97.5,68.6,29.3,15.6,22.2,18.6,13.4,
1998,460.4,356.6,394.9,368.5,330.9,244.1,190.5,175.8,156.1,163.7,179.6,210.3,187.2,149.1,99.9,72.0,32.5,17.6,24.3,19.8,20.8,
1999,459.6,356.7,394.2,368.9,330.3,242.8,188.2,175.0,156.4,164.0,180.7,208.8,187.4,147.8,100.9,71.9,32.1,18.3,24.5,20.2,28.9,
2000,460.5,353.6,393.6,368.1,332.9,240.5,188.1,174.2,158.8,164.6,182.1,207.0,185.8,146.1,96.7,70.1,28.2,17.9,25.0,20.6,26.5,
2001,461.1,355.9,394.2,367.5,335.6,242.8,190.1,171.0,159.9,164.8,184.1,207.2,185.9,147.0,98.2,70.6,30.8,17.4,24.0,18.7,19.8,
2002,461.4,355.1,395.1,368.7,335.7,246.5,190.2,174.8,160.8,165.4,185.3,209.7,185.8,147.8,99.8,71.6,33.2,21.4,26.2,21.2,20.3,
2003,462.0,355.5,395.3,371.7,334.0,247.9,190.4,175.0,160.4,165.0,185.0,210.1,186.0,148.5,101.3,71.4,33.0,17.2,23.3,20.3,25.4,
2004,463.3,356.6,395.5,369.7,336.1,247.4,190.3,175.4,162.3,166.6,183.5,208.3,182.9,148.3,100.5,70.9,33.4,19.6,25.1,22.9,29.6,
2005,458.3,355.1,392.6,364.7,336.3,243.0,186.2,173.8,159.2,162.1,179.9,202.8,181.4,145.6,99.7,68.9,30.9,17.7,23.7,21.8,21.5,
2006,462.2,356.6,395.2,365.7,336.7,246.4,189.1,171.6,163.9,166.6,182.6,206.3,185.6,148.0,105.2,71.2,40.1,19.0,23.1,21.7,24.5,
2007,463.7,356.5,394.8,368.2,336.6,245.5,188.6,177.4,164.5,166.0,184.5,206.5,186.0,148.4,103.5,71.0,40.4,20.5,26.5,22.4,22.4,
2008,461.1,356.9,392.9,367.4,334.9,243.4,186.7,175.2,163.0,166.1,183.1,205.0,185.0,147.0,101.1,70.4,33.6,20.2,24.6,21.2,18.7,
2009,462.2,357.8,395.0,366.9,336.8,243.7,188.3,175.9,164.6,165.7,184.3,207.2,185.8,148.5,100.6,73.2,35.4,21.7,25.0,21.5,25.9,
2010,463.1,358.0,395.3,368.5,337.8,248.1,189.3,175.9,165.0,165.8,183.0,207.9,186.6,149.0,101.1,74.6,34.2,22.8,26.6,23.2,17.9,
2011,462.2,356.5,393.5,367.2,336.0,246.4,187.3,173.8,162.5,161.6,179.0,205.7,186.5,146.8,101.7,73.7,31.5,21.6,25.8,20.3,21.5,
2012,466.0,361.0,397.5,370.6,338.6,247.8,192.0,178.3,166.7,157.4,183.4,210.9,188.4,151.4,106.3,74.8,36.2,25.6,30.2,23.5,32.0,
2013,465.0,358.0,396.2,369.5,336.4,246.2,189.7,175.2,162.3,164.3,181.8,207.7,185.3,148.8,104.8,70.0,33.2,24.5,27.7,22.5,33.7,
2014,465.3,357.5,396.9,376.4,338.2,246.2,190.9,178.6,163.5,166.9,183.4,210.8,187.9,151.1,107.6,74.3,36.8,25.0,28.1,23.2,30.3,
2015,464.3,360.4,397.0,371.7,337.7,243.9,189.0,179.1,164.7,167.7,186.8,210.9,187.9,151.1,108.1,74.2,37.2,26.0,28.6,23.6,34.9,
2016,467.4,363.0,399.4,374.9,340.6,247.5,192.7,181.3,167.5,170.7,192.0,213.8,191.7,154.7,111.8,77.3,40.4,29.6,32.6,28.5,36.7,
2017,463.7,357.8,395.0,368.8,336.1,244.5,191.3,176.9,162.6,167.3,189.2,208.9,186.1,150.4,106.6,74.5,35.8,25.5,28.6,23.1,29.7,
