연도,전지구 연평균 해수면온도 편차,
1891,-0.4,
1892,-0.5,
1893,-0.5,
1894,-0.5,
1895,-0.4,
1896,-0.3,
1897,-0.3,
1898,-0.5,
1899,-0.4,
1900,-0.3,
1901,-0.4,
1902,-0.5,
1903,-0.6,
1904,-0.6,
1905,-0.5,
1906,-0.5,
1907,-0.5,
1908,-0.6,
1909,-0.7,
1910,-0.7,
1911,-0.7,
1912,-0.5,
1913,-0.6,
1914,-0.5,
1915,-0.4,
1916,-0.5,
1917,-0.5,
1918,-0.4,
1919,-0.4,
1920,-0.4,
1921,-0.4,
1922,-0.5,
1923,-0.5,
1924,-0.4,
1925,-0.4,
1926,-0.3,
1927,-0.4,
1928,-0.4,
1929,-0.5,
1930,-0.3,
1931,-0.3,
1932,-0.3,
1933,-0.4,
1934,-0.4,
1935,-0.4,
1936,-0.4,
1937,-0.3,
1938,-0.4,
1939,-0.3,
1940,-0.2,
1941,-0.2,
1942,-0.2,
1943,-0.2,
1944,-0.1,
1945,-0.2,
1946,-0.4,
1947,-0.4,
1948,-0.4,
1949,-0.4,
1950,-0.4,
1951,-0.3,
1952,-0.2,
1953,-0.2,
1954,-0.4,
1955,-0.4,
1956,-0.4,
1957,-0.2,
1958,-0.2,
1959,-0.2,
1960,-0.2,
1961,-0.2,
1962,-0.2,
1963,-0.2,
1964,-0.4,
1965,-0.3,
1966,-0.3,
1967,-0.3,
1968,-0.3,
1969,-0.1,
1970,-0.2,
1971,-0.3,
1972,-0.1,
1973,-0.2,
1974,-0.3,
1975,-0.3,
1976,-0.3,
1977,-0.2,
1978,-0.2,
1979,-0.1,
1980,-0.1,
1981,-0.1,
1982,-0.1,
1983,-0.1,
1984,-0.1,
1985,-0.2,
1986,-0.1,
1987,0.0,
1988,-0.1,
1989,-0.1,
1990,0.0,
1991,0.0,
1992,-0.1,
1993,-0.1,
1994,-0.1,
1995,0.0,
1996,0.0,
1997,0.1,
1998,0.1,
1999,-0.1,
2000,0.0,
2001,0.1,
2002,0.1,
2003,0.1,
2004,0.1,
2005,0.1,
2006,0.1,
2007,0.0,
2008,0.0,
2009,0.1,
2010,0.1,
2011,0.0,
2012,0.1,
2013,0.1,
2014,0.2,
2015,0.3,
2016,0.3,
2017,0.3,
2018,0.2,
2019,0.3,
